해수욕장일일일자,연도,월,일,요일,예상 방문자수,예상 혼잡도,해수욕장이름,시/도,시/군/구,위도,경도
2025-08-01,2025,8,1,4,1526,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-02,2025,8,2,5,993,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-03,2025,8,3,6,1235,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-04,2025,8,4,0,728,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-05,2025,8,5,1,419,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-06,2025,8,6,2,916,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-07,2025,8,7,3,671,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-08,2025,8,8,4,152,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-09,2025,8,9,5,531,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-10,2025,8,10,6,293,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-11,2025,8,11,0,45,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-12,2025,8,12,1,39,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-13,2025,8,13,2,38,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-14,2025,8,14,3,39,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-15,2025,8,15,4,63,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-16,2025,8,16,5,312,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-17,2025,8,17,6,290,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-18,2025,8,18,0,58,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-19,2025,8,19,1,39,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-20,2025,8,20,2,33,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-21,2025,8,21,3,69,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-22,2025,8,22,4,239,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-23,2025,8,23,5,1960,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-24,2025,8,24,6,1705,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-25,2025,8,25,0,742,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-26,2025,8,26,1,631,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-27,2025,8,27,2,656,여유,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-28,2025,8,28,3,1661,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-29,2025,8,29,4,3315,혼잡,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-30,2025,8,30,5,3086,혼잡,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-08-31,2025,8,31,6,2826,보통,38(기사문)해수욕장,강원도,양양군,38.009518,128.730942
2025-06-01,2025,6,1,6,6,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-02,2025,6,2,0,6,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-03,2025,6,3,1,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-04,2025,6,4,2,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-05,2025,6,5,3,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-06,2025,6,6,4,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-07,2025,6,7,5,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-08,2025,6,8,6,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-09,2025,6,9,0,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-10,2025,6,10,1,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-11,2025,6,11,2,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-12,2025,6,12,3,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-13,2025,6,13,4,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-14,2025,6,14,5,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-15,2025,6,15,6,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-16,2025,6,16,0,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-17,2025,6,17,1,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-18,2025,6,18,2,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-19,2025,6,19,3,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-20,2025,6,20,4,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-21,2025,6,21,5,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-22,2025,6,22,6,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-23,2025,6,23,0,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-24,2025,6,24,1,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-25,2025,6,25,2,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-26,2025,6,26,3,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-27,2025,6,27,4,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-28,2025,6,28,5,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-29,2025,6,29,6,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-30,2025,6,30,0,22,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-01,2025,7,1,1,82,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-02,2025,7,2,2,82,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-03,2025,7,3,3,107,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-04,2025,7,4,4,133,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-05,2025,7,5,5,489,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-06,2025,7,6,6,392,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-07,2025,7,7,0,159,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-08,2025,7,8,1,134,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-09,2025,7,9,2,137,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-10,2025,7,10,3,134,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-11,2025,7,11,4,220,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-12,2025,7,12,5,402,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-13,2025,7,13,6,339,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-14,2025,7,14,0,193,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-15,2025,7,15,1,196,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-16,2025,7,16,2,201,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-17,2025,7,17,3,240,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-18,2025,7,18,4,338,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-19,2025,7,19,5,564,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-20,2025,7,20,6,389,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-21,2025,7,21,0,253,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-22,2025,7,22,1,234,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-23,2025,7,23,2,216,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-24,2025,7,24,3,236,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-25,2025,7,25,4,417,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-26,2025,7,26,5,820,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-27,2025,7,27,6,1038,보통,가계해수욕장,전라남도,진도군,34.436219,126.355489
